report_id,source_type,area_name,latitude,longitude,issue_type,description,people_affected,vulnerable_group,timestamp,attachment,urgency_score
59,Call,Surat,20.834599,72.634404,Education,Water issue reported in Surat,17,None,2026-04-17 12:47:33,none,8
60,Form,Navsari,21.668565,70.377443,Medical,Food issue reported in Navsari,54,None,2026-04-16 08:47:33,voice.mp3,8
61,NGO Report,Vadodara,21.520344,71.806055,Shelter,Water issue reported in Vadodara,18,Women,2026-04-15 07:47:33,image.jpg,9
62,NGO Report,Vadodara,22.646334,70.650087,Education,Water issue reported in Vadodara,33,Children,2026-04-16 11:47:33,image.jpg,2
63,Call,Vadodara,21.958315,72.032327,Shelter,Food issue reported in Vadodara,53,Women,2026-04-17 11:47:33,voice.mp3,7
64,Call,Vadodara,22.545834,72.524108,Shelter,Food issue reported in Vadodara,90,Children,2026-04-17 11:47:33,voice.mp3,4
65,NGO Report,Navsari,21.35575,70.450792,Food,Education issue reported in Navsari,44,Women,2026-04-14 15:47:33,report.pdf,5
66,Form,Navsari,22.083874,71.89973,Shelter,Food issue reported in Navsari,6,Disabled,2026-04-16 18:47:33,report.pdf,6
67,NGO Report,Ahmedabad,21.951741,72.540043,Shelter,Medical issue reported in Ahmedabad,11,Children,2026-04-16 13:47:33,image.jpg,5
68,NGO Report,Surat,20.747808,72.083256,Medical,Food issue reported in Surat,24,Women,2026-04-16 20:47:33,image.jpg,7
69,NGO Report,Navsari,20.481719,71.207615,Food,Education issue reported in Navsari,2,Children,2026-04-15 13:47:33,image.jpg,2
70,Call,Rajkot,22.299167,70.778278,Food,Water issue reported in Rajkot,10,None,2026-04-15 22:47:33,voice.mp3,6
71,Mobile App,Surat,21.017654,70.78551,Education,Education issue reported in Surat,39,None,2026-04-14 19:47:33,report.pdf,1
72,NGO Report,Surat,22.004266,70.644764,Shelter,Water issue reported in Surat,71,Women,2026-04-16 01:47:33,none,4
73,Mobile App,Ahmedabad,22.383953,72.39569,Food,Water issue reported in Ahmedabad,80,Disabled,2026-04-15 12:47:33,none,7
74,NGO Report,Surat,21.530529,71.927313,Food,Medical issue reported in Surat,5,Elderly,2026-04-16 18:47:33,report.pdf,1
75,Call,Navsari,22.818163,71.182711,Education,Medical issue reported in Navsari,53,Children,2026-04-17 00:47:33,image.jpg,7
76,Mobile App,Vadodara,22.687345,71.085759,Shelter,Water issue reported in Vadodara,3,None,2026-04-17 09:47:33,report.pdf,3
77,Mobile App,Rajkot,20.620024,71.691141,Education,Food issue reported in Rajkot,22,Children,2026-04-16 07:47:33,voice.mp3,5
78,Call,Ahmedabad,21.621544,70.768222,Water,Food issue reported in Ahmedabad,3,Women,2026-04-15 23:47:33,image.jpg,9
79,NGO Report,Vadodara,22.233104,71.829905,Medical,Education issue reported in Vadodara,32,None,2026-04-17 08:47:33,report.pdf,1
80,WhatsApp,Vadodara,20.121307,72.503259,Food,Water issue reported in Vadodara,13,Disabled,2026-04-14 16:47:33,none,2
81,Mobile App,Rajkot,21.122659,71.050342,Water,Water issue reported in Rajkot,5,Women,2026-04-16 22:47:33,none,5
82,WhatsApp,Navsari,22.144961,72.361602,Education,Medical issue reported in Navsari,82,Elderly,2026-04-16 14:47:33,report.pdf,4
83,WhatsApp,Vadodara,21.79854,72.555541,Food,Shelter issue reported in Vadodara,70,Children,2026-04-15 03:47:33,voice.mp3,1
84,Form,Surat,21.692772,71.206454,Shelter,Education issue reported in Surat,20,None,2026-04-15 13:47:33,voice.mp3,7
85,Mobile App,Ahmedabad,22.242446,71.340597,Shelter,Water issue reported in Ahmedabad,100,Women,2026-04-14 19:47:33,voice.mp3,7
86,NGO Report,Navsari,22.821578,71.392321,Shelter,Shelter issue reported in Navsari,60,Children,2026-04-15 16:47:33,image.jpg,7
87,Form,Ahmedabad,22.672321,71.346275,Medical,Water issue reported in Ahmedabad,17,Disabled,2026-04-14 14:47:33,report.pdf,2
88,Call,Ahmedabad,22.509838,72.342919,Medical,Food issue reported in Ahmedabad,15,Disabled,2026-04-16 21:47:33,voice.mp3,8
89,Call,Rajkot,20.78811,71.106561,Water,Education issue reported in Rajkot,42,Children,2026-04-14 21:47:33,voice.mp3,4
90,WhatsApp,Ahmedabad,20.400208,72.368435,Food,Education issue reported in Ahmedabad,5,Children,2026-04-17 14:47:33,voice.mp3,6
91,WhatsApp,Ahmedabad,20.471292,72.966351,Food,Shelter issue reported in Ahmedabad,97,Disabled,2026-04-15 00:47:33,voice.mp3,5
92,NGO Report,Navsari,22.109051,72.350856,Water,Water issue reported in Navsari,97,None,2026-04-15 12:47:33,report.pdf,9
93,Mobile App,Surat,21.389625,72.656711,Medical,Education issue reported in Surat,95,None,2026-04-15 19:47:33,voice.mp3,8
94,Mobile App,Vadodara,22.442398,70.813546,Food,Medical issue reported in Vadodara,38,Disabled,2026-04-15 17:47:33,voice.mp3,4
95,Mobile App,Navsari,22.947501,71.099774,Water,Education issue reported in Navsari,81,Disabled,2026-04-14 20:47:33,none,2
96,Form,Navsari,22.483008,71.275695,Food,Water issue reported in Navsari,20,Elderly,2026-04-15 11:47:33,report.pdf,2
97,WhatsApp,Navsari,20.474639,71.393707,Shelter,Food issue reported in Navsari,10,None,2026-04-17 04:47:33,voice.mp3,4
98,Call,Rajkot,21.585044,70.330312,Food,Food issue reported in Rajkot,45,None,2026-04-16 08:47:33,image.jpg,1
99,Call,Navsari,21.379681,70.57068,Education,Food issue reported in Navsari,71,None,2026-04-16 21:47:33,report.pdf,10
100,Mobile App,Ahmedabad,22.432417,71.560866,Medical,Shelter issue reported in Ahmedabad,80,None,2026-04-17 00:47:33,image.jpg,2
101,Mobile App,Rajkot,22.240513,70.084878,Education,Water issue reported in Rajkot,80,Women,2026-04-17 05:47:33,voice.mp3,10
102,Call,Vadodara,20.787514,70.219691,Medical,Education issue reported in Vadodara,53,Women,2026-04-16 17:47:33,voice.mp3,1
103,Mobile App,Ahmedabad,20.683448,70.597789,Education,Education issue reported in Ahmedabad,22,Women,2026-04-14 21:47:33,voice.mp3,5
104,Mobile App,Vadodara,21.519047,71.21812,Shelter,Shelter issue reported in Vadodara,16,Elderly,2026-04-15 01:47:33,image.jpg,9
105,WhatsApp,Surat,21.076479,70.063958,Water,Water issue reported in Surat,77,Children,2026-04-16 17:47:33,none,2
106,Form,Vadodara,21.992707,71.519389,Food,Shelter issue reported in Vadodara,56,Elderly,2026-04-14 23:47:33,voice.mp3,4
107,Form,Navsari,20.814505,70.645147,Shelter,Medical issue reported in Navsari,75,Elderly,2026-04-16 06:47:33,image.jpg,3
108,NGO Report,Vadodara,22.564534,72.845302,Medical,Shelter issue reported in Vadodara,69,Elderly,2026-04-15 15:47:33,none,8
109,Call,Ahmedabad,21.994444,70.357774,Medical,Water issue reported in Ahmedabad,13,Children,2026-04-17 03:47:33,report.pdf,10
110,WhatsApp,Vadodara,22.008104,71.734903,Food,Water issue reported in Vadodara,41,Women,2026-04-15 13:47:33,voice.mp3,1
111,WhatsApp,Surat,22.544191,70.466045,Shelter,Education issue reported in Surat,49,Women,2026-04-16 09:47:33,report.pdf,4
112,Call,Vadodara,20.676302,72.135289,Water,Education issue reported in Vadodara,29,Disabled,2026-04-17 08:47:33,none,6
113,Call,Rajkot,20.47543,71.510346,Medical,Medical issue reported in Rajkot,36,Disabled,2026-04-17 04:47:33,report.pdf,6
114,WhatsApp,Surat,22.721597,70.545882,Medical,Medical issue reported in Surat,67,Women,2026-04-16 12:47:33,report.pdf,10
115,Form,Rajkot,22.609495,72.32041,Food,Food issue reported in Rajkot,11,Elderly,2026-04-16 07:47:33,report.pdf,3
116,Call,Navsari,22.936846,72.073974,Food,Food issue reported in Navsari,37,None,2026-04-17 02:47:33,report.pdf,9
117,Call,Navsari,20.323573,70.828753,Water,Food issue reported in Navsari,37,Disabled,2026-04-16 22:47:33,image.jpg,3
118,Mobile App,Rajkot,20.632823,70.892461,Education,Education issue reported in Rajkot,72,Women,2026-04-15 17:47:33,image.jpg,2
119,NGO Report,Rajkot,22.537355,72.656118,Food,Medical issue reported in Rajkot,15,Disabled,2026-04-15 17:47:33,voice.mp3,1
120,Call,Vadodara,21.615202,70.702106,Shelter,Shelter issue reported in Vadodara,63,Women,2026-04-17 03:47:33,report.pdf,9
121,Form,Vadodara,20.243948,70.424605,Food,Education issue reported in Vadodara,57,Disabled,2026-04-15 09:47:33,voice.mp3,3
122,Call,Ahmedabad,21.41971,71.236795,Water,Medical issue reported in Ahmedabad,97,Children,2026-04-15 00:47:33,none,3
123,Form,Surat,22.267884,72.547957,Medical,Education issue reported in Surat,97,None,2026-04-16 08:47:33,image.jpg,3
124,Call,Navsari,22.034109,71.173662,Medical,Food issue reported in Navsari,58,None,2026-04-15 23:47:33,voice.mp3,6
125,WhatsApp,Surat,20.437249,71.314234,Education,Food issue reported in Surat,28,Disabled,2026-04-16 19:47:33,report.pdf,10
126,NGO Report,Ahmedabad,20.578684,71.094176,Water,Medical issue reported in Ahmedabad,96,Disabled,2026-04-15 23:47:33,report.pdf,8
127,Call,Navsari,20.876599,72.208022,Food,Education issue reported in Navsari,4,None,2026-04-17 11:47:33,voice.mp3,7
128,Call,Navsari,20.551228,70.380792,Water,Water issue reported in Navsari,91,Children,2026-04-17 08:47:33,report.pdf,5
129,WhatsApp,Surat,20.157102,72.587863,Food,Water issue reported in Surat,75,Women,2026-04-17 06:47:33,voice.mp3,5
130,Call,Ahmedabad,22.060583,71.740798,Shelter,Shelter issue reported in Ahmedabad,61,Elderly,2026-04-15 07:47:33,voice.mp3,7
131,Form,Vadodara,22.833791,70.647382,Food,Education issue reported in Vadodara,57,Children,2026-04-16 01:47:33,report.pdf,8
132,Form,Vadodara,22.610504,70.069159,Water,Medical issue reported in Vadodara,20,Children,2026-04-15 05:47:33,none,3
133,WhatsApp,Navsari,21.648792,71.561407,Education,Medical issue reported in Navsari,70,Women,2026-04-15 17:47:33,image.jpg,2
134,Mobile App,Rajkot,20.829769,70.876947,Shelter,Water issue reported in Rajkot,83,None,2026-04-16 13:47:33,image.jpg,10
135,NGO Report,Rajkot,20.512735,70.558199,Shelter,Shelter issue reported in Rajkot,53,Women,2026-04-14 15:47:33,report.pdf,2
136,Call,Vadodara,22.777077,71.36507,Medical,Water issue reported in Vadodara,87,Disabled,2026-04-15 11:47:33,report.pdf,8
137,Mobile App,Navsari,20.751989,71.319316,Shelter,Education issue reported in Navsari,28,Elderly,2026-04-16 15:47:33,image.jpg,9
138,Call,Ahmedabad,20.445536,71.776409,Education,Shelter issue reported in Ahmedabad,41,Elderly,2026-04-16 02:47:33,report.pdf,3
139,NGO Report,Ahmedabad,20.531126,70.225143,Shelter,Shelter issue reported in Ahmedabad,63,Children,2026-04-15 00:47:33,voice.mp3,10
140,Mobile App,Surat,21.068521,72.858866,Shelter,Education issue reported in Surat,87,Children,2026-04-15 04:47:33,report.pdf,8
141,NGO Report,Navsari,20.66845,72.132115,Education,Shelter issue reported in Navsari,49,Women,2026-04-15 12:47:33,none,3
142,Call,Rajkot,20.473475,71.854824,Shelter,Food issue reported in Rajkot,92,Disabled,2026-04-14 21:47:33,image.jpg,5
143,Form,Vadodara,21.123328,72.313812,Water,Education issue reported in Vadodara,15,Elderly,2026-04-17 09:47:33,report.pdf,3
144,WhatsApp,Navsari,21.553755,71.530279,Education,Food issue reported in Navsari,90,Women,2026-04-15 05:47:33,voice.mp3,3
145,Mobile App,Surat,21.235468,70.342278,Education,Food issue reported in Surat,20,Children,2026-04-16 07:47:33,report.pdf,1
146,NGO Report,Navsari,21.683582,70.023011,Medical,Medical issue reported in Navsari,9,Children,2026-04-16 07:47:33,voice.mp3,2
147,Form,Surat,20.896399,70.417512,Water,Education issue reported in Surat,81,Elderly,2026-04-17 05:47:33,none,10
148,WhatsApp,Vadodara,21.859588,72.022741,Medical,Shelter issue reported in Vadodara,14,None,2026-04-16 05:47:33,voice.mp3,3
149,WhatsApp,Surat,22.296902,72.607818,Medical,Food issue reported in Surat,74,Elderly,2026-04-15 03:47:33,report.pdf,9
150,Mobile App,Surat,22.308171,72.411475,Shelter,Water issue reported in Surat,31,Children,2026-04-16 05:47:33,none,9
151,Mobile App,Ahmedabad,22.181384,71.377533,Water,Medical issue reported in Ahmedabad,86,Disabled,2026-04-15 07:47:33,image.jpg,8
152,Call,Navsari,22.398801,71.847099,Education,Medical issue reported in Navsari,51,Disabled,2026-04-15 10:47:33,none,6
153,Mobile App,Ahmedabad,21.059317,72.988657,Food,Water issue reported in Ahmedabad,6,Children,2026-04-14 23:47:33,report.pdf,2
154,Form,Navsari,20.953274,71.949683,Shelter,Shelter issue reported in Navsari,18,Elderly,2026-04-16 15:47:33,image.jpg,1
155,Form,Vadodara,20.866919,71.533005,Medical,Medical issue reported in Vadodara,93,None,2026-04-15 15:47:33,none,8
156,WhatsApp,Ahmedabad,21.367849,72.983386,Water,Shelter issue reported in Ahmedabad,73,None,2026-04-15 15:47:33,none,7
157,WhatsApp,Ahmedabad,20.94512,71.665525,Shelter,Medical issue reported in Ahmedabad,37,None,2026-04-17 03:47:33,image.jpg,7
158,Form,Vadodara,20.880349,70.86199,Shelter,Water issue reported in Vadodara,98,Disabled,2026-04-15 18:47:33,image.jpg,3
159,Form,Surat,22.06357,70.375388,Water,Food issue reported in Surat,98,Elderly,2026-04-16 05:47:33,image.jpg,7
160,NGO Report,Surat,20.431369,70.611974,Food,Shelter issue reported in Surat,22,Children,2026-04-16 15:47:33,voice.mp3,1
161,WhatsApp,Navsari,20.34656,72.5262,Education,Medical issue reported in Navsari,50,Women,2026-04-15 19:47:33,report.pdf,5
162,Call,Rajkot,22.670709,71.495357,Food,Food issue reported in Rajkot,59,None,2026-04-16 16:47:33,report.pdf,3
163,NGO Report,Vadodara,21.61755,70.852354,Shelter,Medical issue reported in Vadodara,27,Elderly,2026-04-16 16:47:33,report.pdf,3
164,Mobile App,Vadodara,22.097768,71.423982,Food,Water issue reported in Vadodara,20,Women,2026-04-16 06:47:33,voice.mp3,8
165,Call,Navsari,22.229985,71.242131,Education,Food issue reported in Navsari,55,Elderly,2026-04-16 19:47:33,report.pdf,6
166,Form,Navsari,21.195329,71.013579,Shelter,Medical issue reported in Navsari,47,Children,2026-04-17 12:47:33,voice.mp3,7
167,WhatsApp,Vadodara,21.707436,72.888804,Education,Medical issue reported in Vadodara,28,Elderly,2026-04-15 19:47:33,image.jpg,1
168,NGO Report,Vadodara,20.508388,72.708614,Food,Medical issue reported in Vadodara,74,Elderly,2026-04-16 17:47:33,voice.mp3,3
169,Call,Navsari,21.715701,71.154139,Food,Medical issue reported in Navsari,32,Elderly,2026-04-15 14:47:33,image.jpg,3
170,Call,Surat,21.799952,71.878017,Food,Medical issue reported in Surat,6,Children,2026-04-16 19:47:33,image.jpg,6
171,NGO Report,Surat,21.272262,71.484162,Water,Water issue reported in Surat,38,Children,2026-04-16 09:47:33,report.pdf,9
172,Call,Rajkot,20.941412,71.215323,Education,Education issue reported in Rajkot,41,Children,2026-04-17 05:47:33,voice.mp3,2
173,Call,Navsari,20.750873,71.885873,Water,Medical issue reported in Navsari,20,Elderly,2026-04-17 08:47:33,image.jpg,4
174,Mobile App,Rajkot,20.500309,72.401638,Education,Shelter issue reported in Rajkot,14,Disabled,2026-04-15 20:47:33,none,8
175,Mobile App,Surat,20.25305,70.294426,Medical,Education issue reported in Surat,45,Women,2026-04-15 06:47:33,none,6
176,Call,Vadodara,22.505617,70.186158,Water,Medical issue reported in Vadodara,38,Disabled,2026-04-14 17:47:33,image.jpg,9
177,Call,Rajkot,21.671642,70.796777,Medical,Shelter issue reported in Rajkot,21,Disabled,2026-04-14 14:47:33,voice.mp3,5
178,Call,Vadodara,20.084143,70.347369,Food,Medical issue reported in Vadodara,73,Children,2026-04-17 10:47:33,report.pdf,6
179,NGO Report,Surat,20.206385,72.774561,Education,Education issue reported in Surat,11,Elderly,2026-04-14 20:47:33,none,4
180,NGO Report,Navsari,22.593414,70.661576,Shelter,Food issue reported in Navsari,5,Elderly,2026-04-16 05:47:33,none,6
181,Mobile App,Surat,21.382219,72.24069,Food,Food issue reported in Surat,24,Disabled,2026-04-17 09:47:33,none,5
182,Call,Navsari,21.881299,72.557557,Water,Water issue reported in Navsari,33,Elderly,2026-04-15 11:47:33,report.pdf,4
183,NGO Report,Navsari,21.464739,71.533871,Food,Water issue reported in Navsari,31,Children,2026-04-16 10:47:33,none,7
184,Call,Vadodara,21.449082,72.277218,Food,Water issue reported in Vadodara,52,Disabled,2026-04-17 04:47:33,report.pdf,9
185,Call,Navsari,20.9732,70.441183,Food,Food issue reported in Navsari,28,Women,2026-04-15 23:47:33,report.pdf,4
186,Mobile App,Ahmedabad,20.985969,70.273409,Education,Education issue reported in Ahmedabad,28,Disabled,2026-04-17 01:47:33,report.pdf,4
187,Call,Vadodara,22.952441,71.631051,Medical,Shelter issue reported in Vadodara,87,Disabled,2026-04-16 02:47:33,image.jpg,2
188,WhatsApp,Rajkot,22.633858,72.959652,Medical,Medical issue reported in Rajkot,28,Children,2026-04-15 18:47:33,report.pdf,1
189,WhatsApp,Navsari,22.84435,70.266149,Education,Food issue reported in Navsari,25,Women,2026-04-14 20:47:33,none,9
190,Mobile App,Navsari,22.239833,71.995563,Education,Food issue reported in Navsari,45,Women,2026-04-16 02:47:33,report.pdf,6
191,Form,Vadodara,22.91865,70.585391,Education,Medical issue reported in Vadodara,26,Women,2026-04-16 20:47:33,report.pdf,9
192,NGO Report,Vadodara,22.693068,72.233204,Medical,Shelter issue reported in Vadodara,41,Women,2026-04-14 17:47:33,none,4
193,Call,Ahmedabad,22.058777,72.258189,Education,Food issue reported in Ahmedabad,16,Disabled,2026-04-15 12:47:33,none,10
194,Call,Ahmedabad,20.649804,70.905968,Education,Education issue reported in Ahmedabad,21,Elderly,2026-04-16 13:47:33,none,4
195,WhatsApp,Rajkot,21.395149,71.448784,Water,Shelter issue reported in Rajkot,5,Children,2026-04-15 09:47:33,none,2
196,NGO Report,Surat,20.564261,70.132535,Food,Shelter issue reported in Surat,61,None,2026-04-15 22:47:33,none,2
197,Call,Vadodara,22.187631,70.346638,Medical,Water issue reported in Vadodara,88,None,2026-04-16 08:47:33,voice.mp3,4
198,Call,Vadodara,20.664214,70.380625,Education,Medical issue reported in Vadodara,57,Women,2026-04-16 07:47:33,voice.mp3,8
199,NGO Report,Surat,21.966399,70.500647,Food,Medical issue reported in Surat,16,Disabled,2026-04-16 09:47:33,none,9
200,NGO Report,Rajkot,21.934211,72.844586,Shelter,Education issue reported in Rajkot,79,Elderly,2026-04-15 19:47:33,none,4
201,WhatsApp,Rajkot,21.387224,71.503558,Education,Shelter issue reported in Rajkot,64,Elderly,2026-04-15 01:47:33,voice.mp3,1
202,NGO Report,Surat,20.876252,70.142074,Water,Food issue reported in Surat,81,Disabled,2026-04-14 17:47:33,voice.mp3,5
203,NGO Report,Navsari,22.35513,70.33139,Shelter,Medical issue reported in Navsari,22,Elderly,2026-04-15 06:47:33,voice.mp3,3
204,WhatsApp,Ahmedabad,20.056119,71.46684,Food,Education issue reported in Ahmedabad,85,Children,2026-04-17 08:47:33,voice.mp3,9
205,NGO Report,Vadodara,21.989131,72.729726,Shelter,Water issue reported in Vadodara,14,Disabled,2026-04-15 09:47:33,image.jpg,7
206,Form,Navsari,20.697994,71.670568,Medical,Education issue reported in Navsari,78,Elderly,2026-04-16 12:47:33,none,3
207,WhatsApp,Navsari,20.277289,72.561196,Medical,Medical issue reported in Navsari,62,Children,2026-04-15 10:47:33,image.jpg,8
208,NGO Report,Ahmedabad,21.381816,72.588104,Education,Water issue reported in Ahmedabad,85,Elderly,2026-04-15 19:47:33,voice.mp3,3
209,WhatsApp,Vadodara,20.047376,71.930974,Water,Education issue reported in Vadodara,1,Disabled,2026-04-17 04:47:33,image.jpg,6
210,Call,Vadodara,21.775641,70.840811,Medical,Medical issue reported in Vadodara,22,None,2026-04-15 08:47:33,none,9
211,NGO Report,Surat,20.4449,72.23042,Shelter,Shelter issue reported in Surat,99,Disabled,2026-04-15 20:47:33,none,6
